"page","clicks","impressions","ctr","position"
"https://www.tpsklimaattechniek.nl/","0","15","0","9.066666666666666"
"https://www.tpsklimaattechniek.nl/diensten","0","5","0","6.8"
"https://www.tpsklimaattechniek.nl/diensten/airconditioning","0","2","0","11"
"https://www.tpsklimaattechniek.nl/diensten/airconditioning/installatie","0","2","0","89.5"
"https://www.tpsklimaattechniek.nl/diensten/airconditioning/onderhoud","0","1","0","93"
"https://www.tpsklimaattechniek.nl/diensten/mechanische-ventilatie","0","1","0","5"
"https://www.tpsklimaattechniek.nl/diensten/mechanische-ventilatie/aanleggen","0","1","0","85"
"https://www.tpsklimaattechniek.nl/diensten/mechanische-ventilatie/onderhoud-reinigen","0","2","0","86"
"https://www.tpsklimaattechniek.nl/diensten/mechanische-ventilatie/storing","0","4","0","64"
"https://www.tpsklimaattechniek.nl/diensten/mechanische-ventilatie/vervangen","0","1","0","95"
"https://www.tpsklimaattechniek.nl/diensten/warmtepompen","0","1","0","80"
"https://www.tpsklimaattechniek.nl/diensten/warmtepompen/advies","0","2","0","91"
"https://www.tpsklimaattechniek.nl/diensten/warmtepompen/onderhoud","0","4","0","81.25"
"https://www.tpsklimaattechniek.nl/diensten/warmtepompen/reparatie-storing","0","2","0","85"
"https://www.tpsklimaattechniek.nl/diensten/wtw/aanleggen","0","7","0","54.57142857142857"
"https://www.tpsklimaattechniek.nl/over-ons","0","2","0","11"
