"query","clicks","impressions","ctr","position"
"airco onderhoud zoetermeer","0","1","0","93"
"airco pijnacker","0","2","0","89.5"
"noord-holland warmtepomp onderhoud","0","1","0","80"
"snelle warmtepomp reparatie","0","1","0","85"
"storing mechanische ventilatie","0","3","0","77"
"tps ventilatie","0","2","0","4.5"
"tps ventilation","0","1","0","2"
"ventilatie onderhoud nijkerk","0","1","0","83"
"ventilatiebox vervangen","0","1","0","95"
"ventilatiesysteem aanleggen noord-holland","0","1","0","85"
"ventilatiesysteem onderhouden velp","0","1","0","89"
"warmtepomp den haag","0","1","0","91"
"warmtepomp onderhoud den haag","0","1","0","91"
"warmtepomp onderhoud specialist","0","1","0","85"
"warmtepomp onderhoud waardenburg","0","1","0","90"
"warmtepomp onderhoud zoetermeer","0","1","0","70"
"wtw aanleggen","0","2","0","40.5"
"wtw systeem aanleggen","0","3","0","52"
"wtw unit aanleggen","0","2","0","72.5"
"wtw ventilatie onderhoud","0","1","0","3"
