"query","clicks","impressions","ctr","position"
"tps ventilatie","2","3","0.6666666666666666","1"
"airco installateur zoetermeer","1","3","0.3333333333333333","9"
"tps ventilation","1","1","1","1"
"afzuig installatie","0","1","0","25"
"afzuig ventilator","0","1","0","10"
"afzuigventilator","0","1","0","1"
"airco installatie","0","1","0","17"
"airco laten plaatsen zoetermeer","0","2","0","20.5"
"airco mechanische ventilatie","0","1","0","7"
"airco onderhoud zoetermeer","0","1","0","17"
"airco ventilatie systeem","0","1","0","30"
"airco zoetermeer","0","5","0","10.8"
"airconditioning zoetermeer","0","2","0","12.5"
"centrale ventilatie unit","0","3","0","9.333333333333334"
"cv storing zoetermeer","0","1","0","16"
"dakventilatie oplossingen","0","1","0","64"
"hvac","0","1","0","7"
"inregelen wtw installatie","0","2","0","27"
"inregelen wtw systeem","0","1","0","34"
"installateur mechanische ventilatie","0","3","0","11"
"installateur ventilatie","0","1","0","2"
"installatie mechanische ventilatie","0","2","0","18"
"installatie ventilatiesystemen","0","2","0","14.5"
"installatiebedrijf","0","2","0","3"
"installatiebedrijf mechanische ventilatie","0","1","0","15"
"kanaalreiniging ventilatie etten-leur","0","1","0","90"
"kanaalreiniging ventilatie haarlemmermeer","0","1","0","45"
"kanaalreiniging ventilatie maastricht","0","2","0","45.5"
"kanaalreiniging ventilatie nuenen","0","1","0","90"
"kanaalreiniging ventilatie oss","0","1","0","88"
"kanaalreiniging ventilatie purmerend","0","1","0","48"
"kanaalreiniging ventilatie waalre","0","1","0","61"
"kanaalreiniging ventilatie warffum","0","1","0","62"
"keukenventilatie","0","2","0","11"
"kosten mechanische ventilatie vervangen","0","1","0","23"
"kosten wtw vervangen","0","1","0","1"
"luchtbehandeling","0","2","0","12.5"
"luchtbehandeling bedrijven","0","1","0","1"
"luchtbehandeling horeca","0","2","0","31"
"luchtbehandeling kantoor","0","2","0","19.5"
"luchtkanaal reinigen","0","1","0","3"
"max ventilator","0","1","0","14"
"mechanisch ventilatiesysteem reinigen","0","1","0","5"
"mechanisch ventilatiesysteem vervangen","0","1","0","64"
"mechanische afzuiging vervangen","0","1","0","33"
"mechanische dakventilator","0","4","0","5"
"mechanische ventilatie","0","29","0","8.551724137931036"
"mechanische ventilatie installatie","0","3","0","17.333333333333332"
"mechanische ventilatie laten plaatsen","0","1","0","21"
"mechanische ventilatie onderhoud","0","2","0","21.5"
"mechanische ventilatie reinigen","0","2","0","8.5"
"mechanische ventilatie vervangen","0","2","0","4.5"
"mechanische ventilatie vervangen door wtw kosten","0","2","0","18.5"
"mechanische ventilatie vervangen kosten","0","4","0","20.75"
"mechanische ventilator","0","1","0","11"
"meganische ventilatie","0","1","0","4"
"nieuwe wtw unit","0","2","0","30"
"onderhoud mechanische ventilatie","0","1","0","18"
"onderhoud ventilatie","0","1","0","14"
"onderhoud warmte terugwin installatie","0","3","0","50.666666666666664"
"onderhoud wtw","0","10","0","47.4"
"onderhoud wtw installatie","0","10","0","42.9"
"onderhoud wtw systeem","0","10","0","43.8"
"onderhoud wtw unit","0","8","0","41"
"reinigen wtw installatie","0","2","0","40.5"
"reinigen wtw systeem","0","2","0","45.5"
"reiniging mechanische ventilatie","0","2","0","1"
"reiniging ventilatiekanalen","0","1","0","13"
"reparatie wtw unit","0","2","0","18.5"
"stork mechanische ventilatie vervangen","0","1","0","40"
"ventilatie","0","1","0","3"
"ventilatie de vries","0","1","0","1"
"ventilatie installatie","0","5","0","12"
"ventilatie onderhoud","0","2","0","17"
"ventilatie onderhoud nijkerk","0","1","0","12"
"ventilatie reiniging","0","1","0","13"
"ventilatie warmtepomp","0","1","0","17"
"ventilatiesysteem","0","3","0","12"
"ventilatiesysteem installateur","0","1","0","15"
"ventilatiesysteem installeren","0","2","0","19"
"ventilatiesysteem onderhouden bemmel","0","1","0","76"
"ventilatiesysteem onderhouden oosterbeek","0","1","0","22"
"ventilatiesysteem onderhouden velp","0","1","0","77"
"ventilatiesysteem prijs","0","1","0","3"
"ventilatiesysteem vervangen","0","1","0","19"
"ventilation","0","1","0","4"
"ventilation rooster","0","1","0","3"
"vervanging wtw","0","1","0","42"
"warmte terug win systeem reinigen","0","1","0","47"
"warmte terugwin installatie onderhoud","0","8","0","47.5"
"warmte terugwin systeem vervangen","0","1","0","22"
"warmtepomp","0","1","0","8"
"warmtepomp installateur","0","5","0","8.4"
"warmtepomp onderhoud","0","3","0","10.333333333333334"
"warmtepomp onderhoud zoetermeer","0","1","0","21"
"warmtepomp zoetermeer","0","2","0","11"
"warmtewisselaar wtw schoonmaken","0","2","0","31.5"
"wat kost een nieuwe wtw installatie","0","1","0","29"
"wat kost een wtw vervangen?","0","1","0","1"
"wtw","0","1","0","3"
"wtw filter schoonmaken","0","1","0","72"
"wtw installatie","0","5","0","4.8"
"wtw installatie onderhoud","0","11","0","43.72727272727273"
"wtw installatie reinigen","0","2","0","35.5"
"wtw installatie vervangen","0","6","0","21.666666666666668"
"wtw installatie zoetermeer","0","1","0","1"
"wtw kanalen reinigen kosten","0","1","0","24"
"wtw onderhoud","0","11","0","45.90909090909091"
"wtw reinigen","0","12","0","39"
"wtw reiniging","0","2","0","48.5"
"wtw schoonmaken","0","4","0","47"
"wtw systeem onderhoud","0","3","0","41.333333333333336"
"wtw systeem reinigen","0","5","0","36.2"
"wtw systeem vervangen","0","5","0","24.6"
"wtw unit kopen","0","1","0","7"
"wtw unit onderhoud","0","10","0","37.3"
"wtw unit reinigen","0","5","0","33"
"wtw unit schoonmaken","0","4","0","40"
"wtw unit vervangen","0","12","0","21.333333333333332"
"wtw unit vervangen kosten","0","5","0","2.6"
"wtw ventilatie","0","3","0","8"
"wtw ventilatie onderhoud","0","1","0","3"
"wtw ventilatie reinigen","0","3","0","48.666666666666664"
"wtw ventilator vervangen","0","1","0","10"
"wtw vervangen","0","4","0","25"
"wtw vervangen door mechanische ventilatie","0","4","0","54.5"
"wtw vervangen kosten","0","9","0","3.2222222222222223"
"wtw vervanging","0","1","0","26"
"wtw zelf reinigen","0","1","0","45"
"wtw-onderhoud","0","4","0","49.25"
